datetime,open,high,low,close,volume,average,barCount,returns,log_returns,date,symbol
2022-09-27 10:00:00-04:00,368.44,368.96,365.88,368.35,1922753.0,367.504,12507,-0.00013572204125933407,-0.00013573125232901542,2022-09-27,SPY
2022-09-27 11:00:00-04:00,368.28,368.54,364.02,364.07,1629023.0,365.913,10211,-0.01161938373829241,-0.011687416288528216,2022-09-27,SPY
2022-09-27 12:00:00-04:00,364.07,364.15,361.19,362.76,1800317.0,362.502,11614,-0.0035982091356058232,-0.003604698260927446,2022-09-27,SPY
2022-09-27 13:00:00-04:00,362.73,362.73,360.87,361.7,1174654.0,361.823,7206,-0.0029220421215128134,-0.0029263196213146986,2022-09-27,SPY
2022-09-27 14:00:00-04:00,361.63,364.58,361.36,364.02,1147842.0,362.968,6967,0.006414155377384656,0.006393672224209293,2022-09-27,SPY
2022-09-27 15:00:00-04:00,364.05,364.05,362.08,363.39,2575816.0,363.217,16289,-0.0017306741387835833,-0.0017321734854409583,2022-09-27,SPY
2022-09-28 09:30:00-04:00,364.44,364.96,362.61,364.31,1473652.0,364.019,6585,0.0025317152370731844,0.002528515844881282,2022-09-28,SPY
2022-09-28 10:00:00-04:00,364.33,367.49,363.15,366.53,2001920.0,365.584,11125,0.006093711399631996,0.0060752198238478335,2022-09-28,SPY
2022-09-28 11:00:00-04:00,366.54,368.45,366.18,368.32,1283007.0,367.296,7907,0.004883638447057637,0.0048717521679681715,2022-09-28,SPY
2022-09-28 12:00:00-04:00,368.35,369.56,368.11,368.88,1119120.0,368.699,7185,0.001520417028670673,0.001519262364932242,2022-09-28,SPY
2022-09-28 13:00:00-04:00,368.92,370.0,368.24,368.73,1218706.0,369.196,7801,-0.0004066363044892274,-0.00040671900345098504,2022-09-28,SPY
2022-09-28 14:00:00-04:00,368.74,369.8,368.39,369.5,979040.0,369.139,6908,0.0020882488541751343,0.002086071493257367,2022-09-28,SPY
2022-09-28 15:00:00-04:00,369.47,372.3,369.37,370.49,3672022.0,371.137,21946,0.002679296346414173,0.0026757134303273316,2022-09-28,SPY
2022-09-29 09:30:00-04:00,366.83,367.1,362.83,363.19,1705144.0,364.832,8722,-0.019703635725660695,-0.019900340510134226,2022-09-29,SPY
2022-09-29 10:00:00-04:00,363.19,363.33,360.59,362.54,2382670.0,361.766,14119,-0.0017896968528868795,-0.0017913002736765172,2022-09-29,SPY
2022-09-29 11:00:00-04:00,362.55,364.66,362.12,364.01,1653565.0,363.165,9726,0.004054724995862458,0.004046526752077147,2022-09-29,SPY
2022-09-29 12:00:00-04:00,364.0,364.42,362.18,362.27,780339.0,363.213,5430,-0.004780088459108267,-0.004791549620108366,2022-09-29,SPY
2022-09-29 13:00:00-04:00,362.28,362.45,360.44,360.5,1175706.0,361.627,7412,-0.004885858613741134,-0.004897833441738086,2022-09-29,SPY
2022-09-29 14:00:00-04:00,360.51,361.57,359.7,359.92,1495483.0,360.426,8914,-0.001608876560332817,-0.0016101721920868625,2022-09-29,SPY
2022-09-29 15:00:00-04:00,359.92,363.25,359.89,362.79,3826845.0,362.363,21655,0.00797399422093803,0.007942369932376993,2022-09-29,SPY
2022-09-30 09:30:00-04:00,361.84,363.69,360.17,363.1,1808635.0,361.962,9714,0.0008544888227348668,0.0008541239549962533,2022-09-30,SPY
2022-09-30 10:00:00-04:00,363.08,364.6,361.59,364.14,1605926.0,363.256,10373,0.0028642247314787372,0.002860130655528495,2022-09-30,SPY
2022-09-30 11:00:00-04:00,364.2,365.91,362.71,362.95,1240514.0,364.599,7819,-0.0032679738562091387,-0.0032733253449691376,2022-09-30,SPY
2022-09-30 12:00:00-04:00,362.96,363.38,361.81,362.66,880124.0,362.67,5763,-0.000799008127841172,-0.0007993275049699637,2022-09-30,SPY
2022-09-30 13:00:00-04:00,362.66,362.96,360.67,360.97,858200.0,361.789,5717,-0.004660012132575941,-0.004670903839276887,2022-09-30,SPY
2022-09-30 14:00:00-04:00,360.95,361.77,359.13,359.32,1514967.0,360.397,9660,-0.004571016982020781,-0.0045814960255968675,2022-09-30,SPY
2022-09-30 15:00:00-04:00,359.32,360.76,357.11,357.19,6767290.0,358.406,34191,-0.005927863742624995,-0.0059455032712605275,2022-09-30,SPY
2022-10-03 09:30:00-04:00,361.08,361.63,359.21,360.68,1437971.0,360.744,7511,0.009770710266244986,0.009723285541960683,2022-10-03,SPY
2022-10-03 10:00:00-04:00,360.58,364.95,360.58,364.32,2086140.0,363.793,12736,0.010092048353110838,0.010041463683723589,2022-10-03,SPY
2022-10-03 11:00:00-04:00,364.31,365.45,363.45,363.77,1578251.0,364.535,10095,-0.0015096618357488545,-0.0015108025233575909,2022-10-03,SPY
2022-10-03 12:00:00-04:00,363.75,364.96,363.4,364.29,776971.0,364.127,5525,0.0014294746680596493,0.0014284539417654708,2022-10-03,SPY
2022-10-03 13:00:00-04:00,364.26,366.16,364.17,365.68,1014299.0,365.387,6984,0.0038156413846111015,0.0038083802896515984,2022-10-03,SPY
2022-10-03 14:00:00-04:00,365.67,368.55,365.67,368.11,1388726.0,367.313,8973,0.006645154233209327,0.006623172523316978,2022-10-03,SPY
2022-10-03 15:00:00-04:00,368.15,368.37,366.08,366.6,3503116.0,367.118,19619,-0.004102034717883174,-0.004110471141201234,2022-10-03,SPY
2022-10-04 09:30:00-04:00,372.45,376.07,372.31,376.0,2188679.0,373.978,11037,0.02564102564102555,0.025317807984289786,2022-10-04,SPY
2022-10-04 10:00:00-04:00,376.07,377.39,375.89,377.22,2252797.0,376.623,13716,0.003244680851063997,0.0032394282331303717,2022-10-04,SPY
2022-10-04 11:00:00-04:00,377.22,377.66,376.41,377.03,1703449.0,376.99,10683,-0.0005036848523409798,-0.0005038117441670014,2022-10-04,SPY
2022-10-04 12:00:00-04:00,377.03,377.59,375.86,376.17,1145576.0,376.848,7718,-0.002280985597962859,-0.002283591008301566,2022-10-04,SPY
2022-10-04 13:00:00-04:00,376.16,376.76,374.11,376.28,1573271.0,375.446,10510,0.0002924209798760291,0.0002923782331944412,2022-10-04,SPY
2022-10-04 14:00:00-04:00,376.32,377.4,375.47,377.09,1303238.0,376.477,8224,0.0021526522802168824,0.002150338644005027,2022-10-04,SPY
2022-10-04 15:00:00-04:00,377.09,377.99,375.47,377.93,4229159.0,377.098,23850,0.0022275849266755188,0.0022251075377534143,2022-10-04,SPY
2022-10-05 09:30:00-04:00,373.37,375.15,373.31,374.19,1317168.0,374.059,7378,-0.009896012489085337,-0.009945303479781537,2022-10-05,SPY
2022-10-05 10:00:00-04:00,374.28,374.34,370.95,371.32,2085138.0,372.029,13629,-0.007669900318020284,-0.007699465273995659,2022-10-05,SPY
2022-10-05 11:00:00-04:00,371.34,373.41,371.21,373.05,1010804.0,372.473,7253,0.004659054185069511,0.0046482343857915855,2022-10-05,SPY
