time,portfolio_value,cumulative_pnl
2022-09-27 11:00:00-04:00,100021.03393941211,21.03393941211751
2022-09-28 15:00:00-04:00,99957.17789875265,-42.822101247350545
2022-09-29 10:00:00-04:00,99978.23285025834,-21.767149741651618
2022-09-30 11:00:00-04:00,99999.10987425834,-0.8901257416515946
2022-10-03 15:00:00-04:00,99946.70701351049,-53.29298648950195
2022-10-04 15:00:00-04:00,99952.91052529613,-47.089474703859146
2022-10-05 13:00:00-04:00,99973.80708529612,-26.19291470385906
2022-10-06 15:00:00-04:00,99949.21482004358,-50.78517995640844
2022-10-07 12:00:00-04:00,99970.30249962767,-29.697500372325326
2022-10-10 11:00:00-04:00,99991.34361118135,-8.65638881863591
2022-10-11 15:00:00-04:00,99984.34578083942,-15.654219160567393
2022-10-12 15:00:00-04:00,99969.3720519276,-30.627948072384847
2022-10-13 10:00:00-04:00,99990.27420792759,-9.725792072384884
2022-10-14 10:00:00-04:00,100011.47402377242,11.474023772446191
2022-10-17 15:00:00-04:00,100020.95387199157,20.953871991602384
2022-10-18 10:00:00-04:00,100042.2017818696,42.201781869626885
2022-10-19 10:00:00-04:00,100063.33852786961,63.338527869626866
2022-10-20 10:00:00-04:00,100084.4205278696,84.42052786962694
2022-10-21 12:00:00-04:00,100105.6684538696,105.66845386962706
2022-10-25 15:00:00-04:00,100121.01547448747,121.0154744875034
2022-10-26 10:00:00-04:00,100142.30797848747,142.30797848750348
2022-10-27 15:00:00-04:00,100155.14543001277,155.14543001279853
2022-10-28 10:00:00-04:00,100176.33989001276,176.33989001279858
2022-10-31 15:00:00-04:00,100169.69903397917,169.69903397920524
2022-11-01 10:00:00-04:00,100191.05305401515,191.05305401519797
2022-11-02 12:00:00-04:00,100212.37489404714,212.37489404719173
2022-11-03 15:00:00-04:00,100210.81740178079,210.817401780845
2022-11-04 11:00:00-04:00,100231.87780944326,231.87780944331254
2022-11-07 15:00:00-05:00,100195.07016948645,195.07016948650394
2022-11-08 14:00:00-05:00,100216.2155132497,216.21551324975133
2022-11-09 13:00:00-05:00,100237.24185681298,237.24185681303882
2022-11-10 15:00:00-05:00,100258.31769681298,258.31769681303876
2022-11-11 10:00:00-05:00,100279.45800881299,279.45800881303876
2022-11-14 15:00:00-05:00,100279.96087854904,279.96087854909155
2022-11-15 15:00:00-05:00,100249.32905713092,249.32905713097503
2022-11-16 15:00:00-05:00,100259.2805771909,259.2805771909632
2022-11-17 10:00:00-05:00,100280.4911131909,280.4911131909632
2022-11-18 10:00:00-05:00,100301.72125296295,301.7212529630087
2022-11-21 15:00:00-05:00,100281.08799188957,281.0879918896234
2022-11-22 15:00:00-05:00,100227.5738312489,227.57383124895176
2022-11-23 15:00:00-05:00,100235.5357592281,235.53575922815585
2022-11-25 12:00:00-05:00,100229.86323038027,229.8632303803254
2022-11-28 15:00:00-05:00,100191.22284865862,191.22284865866985
2022-11-29 11:00:00-05:00,100212.37194831869,212.37194831873794
2022-11-30 13:00:00-05:00,100233.4287943187,233.42879431873806
2022-12-01 15:00:00-05:00,100220.73777517892,220.7377751789661
2022-12-02 11:00:00-05:00,100241.99487917892,241.99487917896613
2022-12-05 15:00:00-05:00,100208.49654135529,208.49654135533083
2022-12-06 12:00:00-05:00,100229.51655676021,229.5165567602498
2022-12-07 15:00:00-05:00,100219.31567865783,219.31567865787022
2022-12-08 15:00:00-05:00,100229.25762867503,229.25762867506685
2022-12-09 10:00:00-05:00,100250.43742667502,250.4374266750668
2022-12-12 15:00:00-05:00,100271.50451867502,271.50451867506695
2022-12-13 10:00:00-05:00,100292.51000596157,292.51000596160964
2022-12-14 15:00:00-05:00,100255.15870835709,255.15870835713065
2022-12-15 11:00:00-05:00,100276.29979803915,276.29979803919434
2022-12-16 15:00:00-05:00,100246.32519891378,246.3251989138195
2022-12-19 11:00:00-05:00,100267.36655648626,267.36655648630517
2022-12-20 15:00:00-05:00,100268.06652651825,268.0665265182988
2022-12-21 10:00:00-05:00,100289.24586651825,289.24586651829884
2022-12-22 10:00:00-05:00,100310.46497847186,310.4649784719081
2022-12-23 15:00:00-05:00,100270.52768241867,270.5276824187189
2022-12-27 15:00:00-05:00,100273.6699442711,273.66994427114827
2022-12-28 15:00:00-05:00,100224.30916637747,224.3091663775269
2022-12-29 11:00:00-05:00,100245.23661037747,245.23661037752711
2022-12-30 15:00:00-05:00,100266.22904637747,266.22904637752714
2023-01-03 11:00:00-05:00,100287.33354615752,287.3335461575713
2023-01-04 10:00:00-05:00,100308.3621817984,308.3621817984431
2023-01-05 15:00:00-05:00,100321.16730155844,321.16730155849126
2023-01-06 15:00:00-05:00,100238.40278537128,238.40278537132866
2023-01-09 15:00:00-05:00,100206.21454556604,206.21454556608978
2023-01-10 15:00:00-05:00,100224.5118762139,224.5118762139602
2023-01-11 13:00:00-05:00,100245.6456262139,245.64562621396027
2023-01-12 15:00:00-05:00,100198.06714212551,198.06714212557785
2023-01-13 13:00:00-05:00,100219.05935412551,219.05935412557784
2023-01-17 15:00:00-05:00,100221.11386572919,221.1138657292572
2023-01-18 15:00:00-05:00,100159.76855904653,159.76855904659394
2023-01-19 11:00:00-05:00,100180.80967060021,180.80967060028334
2023-01-20 11:00:00-05:00,100201.7462926002,201.74629260028343
2023-01-23 11:00:00-05:00,100222.8646146002,222.86461460028346
2023-01-24 15:00:00-05:00,100227.52813435465,227.5281343547327
2023-01-25 15:00:00-05:00,100160.97127772318,160.97127772325894
2023-01-26 15:00:00-05:00,100128.16946726126,128.1694672613514
2023-01-27 12:00:00-05:00,100149.11218726127,149.1121872613515
2023-01-30 15:00:00-05:00,100110.87912981516,110.87912981524073
2023-01-31 11:00:00-05:00,100132.05036981516,132.05036981524069
2023-02-01 14:00:00-05:00,100153.07745581516,153.0774558152407
2023-02-02 15:00:00-05:00,100112.0157591753,112.01575917536861
