side,entry_time,exit_time,entry_price,exit_price,shares,position_value,gross_pnl,transaction_costs,pnl,capital_after,return_pct,cum_pnl,net_pnl,cumulative_pnl
buy,2022-10-13 09:30:00-04:00,2022-10-13 11:00:00-04:00,257.48,263.14456,3,772.44,16.993679999999983,0.184488,16.80919199999998,100016.809192,2.176116203200246,16.80919199999998,16.80919199999998,16.80919199999998
sell,2022-10-14 09:30:00-04:00,2022-10-14 12:00:00-04:00,267.94,262.04532,3,803.8199999999999,17.68403999999998,0.190764,17.49327599999998,100034.302468,2.176267821153987,34.30246799999996,17.49327599999998,34.30246799999996
buy,2022-10-28 09:30:00-04:00,2022-10-28 14:00:00-04:00,274.8,280.8456,3,824.4000000000001,18.136799999999937,0.19488000000000003,17.941919999999936,100052.24438799999,2.1763609898107634,52.2443879999999,17.941919999999936,52.2443879999999
sell,2022-11-02 09:30:00-04:00,2022-11-02 15:00:00-04:00,273.84,267.81552,3,821.52,18.073439999999948,0.194304,17.87913599999995,100070.123524,2.176348232544546,70.12352399999985,17.87913599999995,70.12352399999985
buy,2022-11-30 09:30:00-05:00,2022-11-30 14:00:00-05:00,281.61,287.80542,3,844.83,18.58626000000004,0.198966,18.38729400000004,100088.510818,2.176448989737585,88.51081799999989,18.38729400000004,88.51081799999989
sell,2022-12-13 09:30:00-05:00,2022-12-13 11:00:00-05:00,295.73,289.22394,3,887.19,19.518179999999973,0.207438,19.310741999999973,100107.82156,2.1766185371791806,107.82155999999986,19.310741999999973,107.82155999999986
sell,2022-12-22 09:30:00-05:00,2022-12-22 13:00:00-05:00,268.53,262.62233999999995,3,805.5899999999999,17.722980000000064,0.19111799999999998,17.531862000000064,100125.353422,2.1762760213011663,125.35342199999992,17.531862000000064,125.35342199999992
buy,2023-02-01 09:30:00-05:00,2023-02-01 15:00:00-05:00,294.6,301.0812,3,883.8000000000001,19.443600000000004,0.20676000000000003,19.236840000000004,100144.590262,2.176605566870333,144.59026199999994,19.236840000000004,144.59026199999994
sell,2023-02-09 09:30:00-05:00,2023-02-09 15:00:00-05:00,307.61,300.84258,3,922.83,20.302260000000047,0.214566,20.087694000000045,100164.677956,2.176749130392385,164.677956,20.087694000000045,164.677956
buy,2023-03-16 09:30:00-04:00,2023-03-16 15:00:00-04:00,299.7,306.2934,3,899.0999999999999,19.780200000000093,0.20981999999999998,19.570380000000092,100184.248336,2.176663329996674,184.24833600000008,19.570380000000092,184.24833600000008
sell,2023-08-24 09:30:00-04:00,2023-08-24 15:00:00-04:00,369.94,361.80132,2,739.88,16.277360000000044,0.167976,16.109384000000045,100200.35772,2.177296858950106,200.3577200000001,16.109384000000045,200.3577200000001
buy,2023-10-06 09:30:00-04:00,2023-10-06 13:00:00-04:00,356.26,364.09772,2,712.52,15.67543999999998,0.16250399999999998,15.51293599999998,100215.870656,2.177193061247401,215.87065600000008,15.51293599999998,215.87065600000008
sell,2024-04-04 09:30:00-04:00,2024-04-04 15:00:00-04:00,445.77,435.96306,2,891.54,19.613879999999995,0.19830799999999998,19.415571999999994,100235.286228,2.177756690670076,235.28622800000008,19.415571999999994,235.28622800000008
sell,2024-04-15 09:30:00-04:00,2024-04-15 13:00:00-04:00,441.34,431.63052,2,882.68,19.41895999999997,0.196536,19.22242399999997,100254.508652,2.1777341731997977,254.50865200000004,19.22242399999997,254.50865200000004
sell,2024-07-11 09:30:00-04:00,2024-07-11 13:00:00-04:00,502.48,491.42544,1,502.48,11.054560000000038,0.110496,10.944064000000038,100265.452716,2.178009871039651,265.45271600000007,10.944064000000038,265.45271600000007
buy,2024-08-05 09:30:00-04:00,2024-08-05 12:00:00-04:00,432.49,442.00478000000004,2,864.98,19.02956000000006,0.192996,18.83656400000006,100284.28928,2.177687807810592,284.28928000000013,18.83656400000006,284.28928000000013
sell,2024-09-03 09:30:00-04:00,2024-09-03 15:00:00-04:00,470.56,460.20768,2,941.12,20.70464000000004,0.208224,20.49641600000004,100304.78569599999,2.177874872492354,304.78569600000014,20.49641600000004,304.78569600000014
buy,2024-12-20 09:30:00-05:00,2024-12-20 11:00:00-05:00,510.96,522.20112,1,510.96,11.241119999999967,0.112192,11.128927999999966,100315.914624,2.178042899639887,315.9146240000001,11.128927999999966,315.9146240000001
sell,2025-03-03 09:30:00-05:00,2025-03-03 15:00:00-05:00,506.31,495.17118,1,506.31,11.13882000000001,0.111262,11.02755800000001,100326.942182,2.1780249254409374,326.9421820000001,11.02755800000001,326.9421820000001
sell,2025-03-10 09:30:00-04:00,2025-03-10 14:00:00-04:00,481.25,470.66249999999997,2,962.5,21.175000000000068,0.2125,20.96250000000007,100347.904682,2.1779220779220854,347.9046820000002,20.96250000000007,347.9046820000002
buy,2025-04-07 09:30:00-04:00,2025-04-07 10:00:00-04:00,416.89,426.06158,2,833.78,18.34316000000001,0.186756,18.156404000000013,100366.06108599999,2.177601285710861,366.0610860000002,18.156404000000013,366.0610860000002
buy,2025-04-09 09:30:00-04:00,2025-04-09 13:00:00-04:00,421.29,430.55838000000006,2,842.58,18.536760000000072,0.18851600000000002,18.348244000000072,100384.40932999998,2.1776263381518755,384.4093300000003,18.348244000000072,384.4093300000003
sell,2025-04-10 09:30:00-04:00,2025-04-10 12:00:00-04:00,450.52,440.60855999999995,2,901.04,19.822880000000055,0.200208,19.622672000000055,100404.03200199998,2.1777803427150912,404.0320020000004,19.622672000000055,404.0320020000004
