entry_time,exit_time,symbol,signal,shares,entry_price,exit_price,gross_pnl,transaction_costs,net_pnl,portfolio_value,return_pct,cumulative_pnl
2024-11-01 09:30:00-04:00,2024-11-01 15:00:00-04:00,QQQ,BUY,2,487.93756799999994,487.3025394921016,-1.2700570157967377,0.02,-1.2900570157967377,99998.7099429842,-0.13219488520678305,-1.2900570157967377
2024-11-04 09:30:00-05:00,2024-11-04 15:00:00-05:00,QQQ,BUY,2,487.23742799999997,485.86282743451306,-2.749201130973802,0.02,-2.769201130973802,99995.94074185324,-0.2841736873889953,-4.0592581467705395
2024-11-05 09:30:00-05:00,2024-11-05 15:00:00-05:00,QQQ,BUY,2,491.018184,492.15156968606277,2.266771372125504,0.02,2.246771372125504,99998.18751322536,0.2287869823702399,-1.8124867746450355
2024-11-07 09:30:00-05:00,2024-11-07 15:00:00-05:00,QQQ,BUY,1,511.00217999999995,513.4873025394921,2.485122539492181,0.01,2.4751225394921814,100000.66263576485,0.4843663366548029,0.6626357648471459
2024-11-08 09:30:00-05:00,2024-11-08 15:00:00-05:00,QQQ,BUY,1,513.692718,514.0571885622875,0.3644705622874653,0.01,0.3544705622874653,100001.01710632714,0.06900439696080436,1.0171063271346112
2024-11-12 09:30:00-05:00,2024-11-12 15:00:00-05:00,QQQ,BUY,1,514.3928579999999,512.8374325134973,-1.5554254865025996,0.01,-1.5654254865025996,99999.45168084063,-0.30432488751673137,-0.5483191593679884
2024-11-19 09:30:00-05:00,2024-11-19 13:00:00-05:00,QQQ,BUY,2,498.309642,503.1921,9.764915999999971,0.02,9.744915999999971,100009.19659684063,0.9777972548241372,9.196596840631983
2024-11-22 09:30:00-05:00,2024-11-22 15:00:00-05:00,QQQ,BUY,1,506.011182,505.70885822835436,-0.3023237716456606,0.01,-0.3123237716456606,100008.88427306898,-0.06172270154410553,8.884273068986323
2024-11-26 09:30:00-05:00,2024-11-26 15:00:00-05:00,QQQ,BUY,1,509.00177999999994,509.17816436712656,0.17638436712661587,0.01,0.16638436712661586,100009.0506574361,0.032688366458485836,9.050657436112939
2024-11-29 09:30:00-05:00,2024-11-29 12:00:00-05:00,QQQ,BUY,1,508.041588,509.6080783843231,1.5664903843231173,0.01,1.5564903843231173,100010.60714782042,0.3063706635613298,10.607147820436056
2024-12-02 09:30:00-05:00,2024-12-02 15:00:00-05:00,QQQ,BUY,1,513.7727339999999,515.1869626074784,1.4142286074785488,0.01,1.4042286074785488,100012.01137642791,0.27331707475907996,12.011376427914605
2024-12-03 09:30:00-05:00,2024-12-03 15:00:00-05:00,QQQ,BUY,1,515.163012,516.8166366726655,1.6536246726655008,0.01,1.6436246726655008,100013.65500110057,0.3190494337480698,13.655001100580106
2024-12-04 09:30:00-05:00,2024-12-04 15:00:00-05:00,QQQ,BUY,1,520.434066,523.1453709258149,2.7113049258148294,0.01,2.7013049258148296,100016.35630602638,0.5190484448062301,16.356306026394936
2024-12-06 09:30:00-05:00,2024-12-06 15:00:00-05:00,QQQ,BUY,1,525.2950380000001,526.4047190561888,1.1096810561887196,0.01,1.0996810561887196,100017.45598708258,0.20934541098572482,17.455987082583654
2024-12-09 09:30:00-05:00,2024-12-09 15:00:00-05:00,QQQ,BUY,1,525.865152,522.2755448910218,-3.589607108978157,0.01,-3.599607108978157,100013.8563799736,-0.6845114370647929,13.856379973605497
2024-12-10 09:30:00-05:00,2024-12-10 15:00:00-05:00,QQQ,BUY,1,524.05479,520.4459108178364,-3.608879182163605,0.01,-3.618879182163605,100010.23750079144,-0.6905535931011344,10.237500791441892
2024-12-11 09:30:00-05:00,2024-12-11 15:00:00-05:00,QQQ,BUY,1,527.6655119999999,529.8340331933614,2.168521193361471,0.01,2.158521193361471,100012.3960219848,0.40906997790704036,12.396021984803363
2024-12-13 09:30:00-05:00,2024-12-13 15:00:00-05:00,QQQ,BUY,1,532.626504,530.3939212157569,-2.23258278424305,0.01,-2.2425827842430497,100010.15343920056,-0.42104228148643724,10.153439200560314
2024-12-16 09:30:00-05:00,2024-12-16 15:00:00-05:00,QQQ,BUY,1,534.926964,538.0923815236953,3.1654175236952824,0.01,3.1554175236952826,100013.30885672425,0.5898781957260398,13.308856724255596
2024-12-18 09:30:00-05:00,2024-12-18 15:00:00-05:00,QQQ,BUY,1,535.4370660000001,516.4567086582683,-18.980357341731747,0.01,-18.990357341731748,99994.31849938253,-3.5467020398120415,-5.681500617476152
2024-12-20 09:30:00-05:00,2024-12-20 10:00:00-05:00,QQQ,BUY,1,511.062192,516.0695999999999,5.007407999999941,0.01,4.9974079999999415,99999.31590738252,0.9778473301738474,-0.6840926174762103
2024-12-23 09:30:00-05:00,2024-12-23 15:00:00-05:00,QQQ,BUY,1,519.95397,522.8154369126174,2.861466912617402,0.01,2.8514669126174024,100002.16737429514,0.5484075662731073,2.167374295141192
2024-12-24 09:30:00-05:00,2024-12-24 12:00:00-05:00,QQQ,BUY,1,526.745328,529.9140171965607,3.168689196560763,0.01,3.158689196560763,100005.3260634917,0.5996615496437329,5.326063491701955
2024-12-26 09:30:00-05:00,2024-12-26 15:00:00-05:00,QQQ,BUY,1,528.515682,529.4441111777644,0.9284291777644285,0.01,0.9184291777644285,100006.24449266946,0.17377519892861543,6.244492669466384
2025-01-02 09:30:00-05:00,2025-01-02 15:00:00-05:00,QQQ,BUY,1,515.5230839999999,510.0679864027195,-5.455097597280428,0.01,-5.465097597280428,100000.77939507218,-1.0601072516241443,0.7793950721859559
