entry_time,exit_time,symbol,signal,shares,entry_price,exit_price,gross_pnl,transaction_costs,net_pnl,portfolio_value,return_pct,cumulative_pnl
2022-09-27 10:00:00-04:00,2022-09-27 11:00:00-04:00,TQQQ,SELL,45,21.895620875824836,21.418200000000002,21.483939412117508,0.45,21.03393941211751,100021.03393941211,2.1347687671232807,21.03393941211751
2022-09-28 09:30:00-04:00,2022-09-28 15:00:00-04:00,TQQQ,SELL,47,20.925814837032593,22.274454,-63.38604065946805,0.47000000000000003,-63.85604065946805,99957.17789875265,-6.492646396559956,-42.822101247350545
2022-09-29 09:30:00-04:00,2022-09-29 10:00:00-04:00,TQQQ,SELL,48,20.57588482303539,20.127239999999997,21.534951505698928,0.48,21.054951505698927,99978.23285025834,2.131839416909628,-21.767149741651618
2022-09-30 09:30:00-04:00,2022-09-30 11:00:00-04:00,TQQQ,BUY,48,20.414082,20.85902,21.357024000000024,0.48,20.877024000000024,99999.10987425834,2.130578293944349,-0.8901257416515946
2022-10-03 09:30:00-04:00,2022-10-03 15:00:00-04:00,TQQQ,SELL,50,19.62607478504299,20.664132,-51.902860747850355,0.5,-52.402860747850355,99946.70701351049,-5.340126471726941,-53.29298648950195
2022-10-04 09:30:00-04:00,2022-10-04 15:00:00-04:00,TQQQ,BUY,44,22.45449,22.605478904219154,6.643511785642801,0.44,6.2035117856428,99952.91052529613,0.627887358916433,-47.089474703859146
2022-10-05 09:30:00-04:00,2022-10-05 13:00:00-04:00,TQQQ,BUY,45,21.764352000000002,22.238720000000004,21.346560000000085,0.45,20.896560000000086,99973.80708529612,2.1336173941682337,-26.19291470385906
2022-10-06 09:30:00-04:00,2022-10-06 15:00:00-04:00,TQQQ,BUY,44,22.564511999999997,22.015596880623875,-24.152265252549384,0.44,-24.592265252549385,99949.21482004358,-2.4769652424839608,-50.78517995640844
2022-10-07 09:30:00-04:00,2022-10-07 12:00:00-04:00,TQQQ,SELL,49,20.195960807838432,19.7556,21.577679584083114,0.49,21.087679584083116,99970.30249962767,2.130925148514845,-29.697500372325326
2022-10-10 09:30:00-04:00,2022-10-10 11:00:00-04:00,TQQQ,SELL,52,19.01619676064787,18.601559999999996,21.561111553689415,0.52,21.041111553689415,99991.34361118135,2.127853249211372,-8.65638881863591
2022-10-11 09:30:00-04:00,2022-10-11 15:00:00-04:00,TQQQ,SELL,55,18.02639472105579,18.143628,-6.447830341931482,0.55,-6.997830341931482,99984.34578083942,-0.7058165590682063,-15.654219160567393
2022-10-12 09:30:00-04:00,2022-10-12 15:00:00-04:00,TQQQ,BUY,54,18.363671999999998,18.09638072385523,-14.433728911817454,0.54,-14.973728911817453,99969.3720519276,-1.5099990685129188,-30.627948072384847
2022-10-13 09:30:00-04:00,2022-10-13 10:00:00-04:00,TQQQ,BUY,58,16.993398,17.36378,21.48215599999996,0.58,20.902155999999962,99990.27420792759,2.1207177046050436,-9.725792072384884
2022-10-14 09:30:00-04:00,2022-10-14 10:00:00-04:00,TQQQ,SELL,52,19.15616876624675,18.73848,21.719815844831075,0.52,21.199815844831075,100011.47402377242,2.1282374947807976,11.474023772446191
2022-10-17 09:30:00-04:00,2022-10-17 15:00:00-04:00,TQQQ,BUY,52,19.143828,19.33613277344531,9.999848219156192,0.52,9.479848219156192,100020.95387199157,0.9522900720029004,20.953871991602384
2022-10-18 09:30:00-04:00,2022-10-18 10:00:00-04:00,TQQQ,SELL,49,20.345930813837235,19.9023,21.7379098780245,0.49,21.2479098780245,100042.2017818696,2.1312901228501335,42.201781869626885
2022-10-19 09:30:00-04:00,2022-10-19 10:00:00-04:00,TQQQ,BUY,51,19.473893999999998,19.898339999999997,21.646745999999983,0.51,21.13674599999998,100063.33852786961,2.1282132890319714,63.338527869626866
2022-10-20 09:30:00-04:00,2022-10-20 10:00:00-04:00,TQQQ,BUY,50,19.80396,20.2356,21.58200000000008,0.5,21.08200000000008,100084.4205278696,2.129069135667824,84.42052786962694
2022-10-21 09:30:00-04:00,2022-10-21 12:00:00-04:00,TQQQ,BUY,51,19.573914,20.00054,21.757926000000122,0.51,21.24792600000012,100105.6684538696,2.1284756845258563,105.66845386962706
2022-10-25 09:30:00-04:00,2022-10-25 15:00:00-04:00,TQQQ,BUY,45,22.214442000000002,22.565486902619476,15.797020617876338,0.45,15.347020617876339,100121.01547448747,1.535239564511565,121.0154744875034
2022-10-26 09:30:00-04:00,2022-10-26 10:00:00-04:00,TQQQ,BUY,47,21.244248,21.70728,21.76250400000009,0.47000000000000003,21.29250400000009,100142.30797848747,2.1324925222111974,142.30797848750348
2022-10-27 09:30:00-04:00,2022-10-27 15:00:00-04:00,TQQQ,SELL,49,20.165966806638675,19.893978,13.327451525295047,0.49,12.837451525295046,100155.14543001277,1.2991631353495394,155.14543001279853
2022-10-28 09:30:00-04:00,2022-10-28 10:00:00-04:00,TQQQ,BUY,49,20.30406,20.7466,21.68446000000005,0.49,21.194460000000053,100176.33989001276,2.1303128536854254,176.33989001279858
2022-10-31 09:30:00-04:00,2022-10-31 15:00:00-04:00,TQQQ,SELL,48,20.815836832633472,20.944188,-6.1608560335933475,0.48,-6.640856033593348,100169.69903397917,-0.6646437925072113,169.69903397920524
2022-11-01 09:30:00-04:00,2022-11-01 10:00:00-04:00,TQQQ,SELL,47,21.295740851829635,20.831400000000002,21.82402003599273,0.47000000000000003,21.354020035992733,100191.05305401515,2.13348225352112,191.05305401519797
2022-11-02 09:30:00-04:00,2022-11-02 12:00:00-04:00,TQQQ,SELL,50,20.015996800639872,19.579559999999997,21.821840031993744,0.5,21.321840031993744,100212.37489404714,2.1304799600399744,212.37489404719173
2022-11-03 09:30:00-04:00,2022-11-03 15:00:00-04:00,TQQQ,SELL,58,17.126574685062987,17.143428,-0.9774922663467365,0.58,-1.5574922663467365,100210.81740178079,-0.15679326094570986,210.817401780845
2022-11-04 09:30:00-04:00,2022-11-04 11:00:00-04:00,TQQQ,SELL,56,17.70645870825835,17.32038,21.620407662467557,0.56,21.060407662467558,100231.87780944326,2.1239634330886554,231.87780944331254
2022-11-07 09:30:00-05:00,2022-11-07 15:00:00-05:00,TQQQ,SELL,56,17.876424715056988,18.523704,-36.2476399568086,0.56,-36.8076399568086,100195.07016948645,-3.6767938523489896,195.07016948650394
2022-11-08 09:30:00-05:00,2022-11-08 14:00:00-05:00,TQQQ,SELL,53,18.756248750249952,18.34728,21.675343763247394,0.53,21.145343763247393,100216.2155132497,2.127124434968021,216.21551324975133
2022-11-09 09:30:00-05:00,2022-11-09 13:00:00-05:00,TQQQ,SELL,54,18.31633673265347,17.916959999999996,21.566343563287504,0.54,21.026343563287504,100237.24185681298,2.125843930131021,237.24185681303882
2022-11-10 09:30:00-05:00,2022-11-10 15:00:00-05:00,TQQQ,BUY,48,20.60412,21.0532,21.555839999999932,0.48,21.075839999999932,100258.31769681298,2.131030104658673,258.31769681303876
2022-11-11 09:30:00-05:00,2022-11-11 10:00:00-05:00,TQQQ,BUY,46,21.544307999999997,22.013879999999997,21.600311999999974,0.46,21.140311999999973,100279.45800881299,2.133148115038085,279.45800881303876
2022-11-14 09:30:00-05:00,2022-11-14 15:00:00-05:00,TQQQ,SELL,45,22.075584883023396,22.05441,0.9528697360527794,0.45,0.5028697360527794,100279.96087854904,0.050621005434781596,279.96087854909155
2022-11-15 09:30:00-05:00,2022-11-15 15:00:00-05:00,TQQQ,BUY,42,23.684736,22.965406918616274,-30.211821418116514,0.42,-30.631821418116516,100249.32905713092,-3.079321134859711,249.32905713097503
2022-11-16 09:30:00-05:00,2022-11-16 15:00:00-05:00,TQQQ,SELL,45,22.25554889022196,22.024404,10.401520059988147,0.45,9.951520059988148,100259.2805771909,0.9936618113207691,259.2805771909632
2022-11-17 09:30:00-05:00,2022-11-17 10:00:00-05:00,TQQQ,BUY,47,21.164232,21.625519999999998,21.680535999999986,0.47000000000000003,21.210535999999987,100280.4911131909,2.1323145578823732,280.4911131909632
2022-11-18 09:30:00-05:00,2022-11-18 10:00:00-05:00,TQQQ,SELL,45,22.09558088382324,21.613800000000005,21.68013977204552,0.45,21.230139772045522,100301.72125296295,2.1351820814479563,301.7212529630087
2022-11-21 09:30:00-05:00,2022-11-21 15:00:00-05:00,TQQQ,BUY,46,21.594317999999998,21.155768846230753,-20.173261073385248,0.46,-20.63326107338525,100281.08799188957,-2.077162861865999,281.0879918896234
2022-11-22 09:30:00-05:00,2022-11-22 15:00:00-05:00,TQQQ,SELL,47,20.935812837432515,22.064411999999997,-53.04416064067168,0.47000000000000003,-53.514160640671676,100227.5738312489,-5.438523793696256,227.57383124895176
2022-11-23 09:30:00-05:00,2022-11-23 15:00:00-05:00,TQQQ,BUY,44,22.524504,22.715456908618275,8.401927979204103,0.44,7.961927979204103,100235.5357592281,0.8033602365595933,235.53575922815585
2022-11-25 09:30:00-05:00,2022-11-25 12:00:00-05:00,TQQQ,BUY,44,22.364472,22.245550889822034,-5.2325288478304515,0.44,-5.672528847830452,100229.86323038027,-0.5764549691938393,229.8632303803254
2022-11-28 09:30:00-05:00,2022-11-28 15:00:00-05:00,TQQQ,BUY,45,22.114421999999998,21.265746850629874,-38.190381721655555,0.45,-38.64038172165556,100191.22284865862,-3.8828740329280307,191.22284865866985
2022-11-29 09:30:00-05:00,2022-11-29 11:00:00-05:00,TQQQ,SELL,47,21.095780843831236,20.6358,21.619099660068084,0.47000000000000003,21.149099660068085,100212.37194831869,2.133037156398114,212.37194831873794
2022-11-30 09:30:00-05:00,2022-11-30 13:00:00-05:00,TQQQ,BUY,47,21.014202,21.472220000000004,21.526846000000127,0.47000000000000003,21.056846000000128,100233.4287943187,2.13197722188072,233.42879431873806
2022-12-01 09:30:00-05:00,2022-12-01 15:00:00-05:00,TQQQ,BUY,41,23.994798,23.69526094781044,-12.281019139771967,0.41000000000000003,-12.691019139771967,100220.73777517892,-1.2900173287124994,220.7377751789661
2022-12-02 09:30:00-05:00,2022-12-02 11:00:00-05:00,TQQQ,BUY,44,22.624524,23.11764,21.697104000000024,0.44,21.257104000000023,100241.99487917892,2.1353642622492326,241.99487917896613
2022-12-05 09:30:00-05:00,2022-12-05 15:00:00-05:00,TQQQ,BUY,43,22.964592,22.195560887822435,-33.0683378236353,0.43,-33.498337823635296,100208.49654135529,-3.392314186019787,208.49654135533083
2022-12-06 09:30:00-05:00,2022-12-06 12:00:00-05:00,TQQQ,SELL,46,21.415716856628677,20.948760000000004,21.48001540491898,0.46,21.02001540491898,100229.51655676021,2.133745322128848,229.5165567602498
2022-12-07 09:30:00-05:00,2022-12-07 15:00:00-05:00,TQQQ,SELL,49,20.355928814237153,20.55411,-9.710878102379581,0.49,-10.200878102379582,100219.31567865783,-1.0227054125736796,219.31567865787022
2022-12-08 09:30:00-05:00,2022-12-08 15:00:00-05:00,TQQQ,BUY,47,21.064211999999998,21.285742851429713,10.411950017196634,0.47000000000000003,9.941950017196634,100229.25762867503,1.004219153461405,229.25762867506685
2022-12-09 09:30:00-05:00,2022-12-09 10:00:00-05:00,TQQQ,BUY,47,21.134225999999998,21.594859999999997,21.649797999999947,0.47000000000000003,21.17979799999995,100250.43742667502,2.1322474738369834,250.4374266750668
2022-12-12 09:30:00-05:00,2022-12-12 15:00:00-05:00,TQQQ,BUY,47,21.024203999999997,21.48244,21.53709200000014,0.47000000000000003,21.06709200000014,100271.50451867502,2.13199986073196,271.50451867506695
2022-12-13 09:30:00-05:00,2022-12-13 10:00:00-05:00,TQQQ,SELL,41,23.95520895820836,23.43288,21.41548728654271,0.41000000000000003,21.00548728654271,100292.51000596157,2.1386954257095177,292.51000596160964
2022-12-14 09:30:00-05:00,2022-12-14 15:00:00-05:00,TQQQ,BUY,44,22.654529999999998,21.815636872625475,-36.911297604478975,0.44,-37.35129760447897,100255.15870835709,-3.7471231024193496,255.15870835713065
2022-12-15 09:30:00-05:00,2022-12-15 11:00:00-05:00,TQQQ,SELL,49,20.245950809838032,19.804499999999997,21.631089682063692,0.49,21.141089682063694,100276.29979803915,2.131047407407418,276.29979803919434
2022-12-16 09:30:00-05:00,2022-12-16 15:00:00-05:00,TQQQ,BUY,51,19.633926,19.05618876224755,-29.464599125374843,0.51,-29.974599125374844,100246.32519891378,-2.9934779103906575,246.3251989138195
2022-12-19 09:30:00-05:00,2022-12-19 11:00:00-05:00,TQQQ,SELL,53,18.66626674665067,18.259259999999998,21.57135757248566,0.53,21.04135757248566,100267.36655648626,2.1268674236743594,267.36655648630517
2022-12-20 09:30:00-05:00,2022-12-20 15:00:00-05:00,TQQQ,BUY,55,18.173634,18.19636072785443,1.2499700319936302,0.55,0.6999700319936302,100268.06652651825,0.07002852513938401,268.0665265182988
2022-12-21 09:30:00-05:00,2022-12-21 10:00:00-05:00,TQQQ,BUY,54,18.453689999999998,18.8559,21.71934000000001,0.54,21.17934000000001,100289.24586651825,2.1253743831179577,289.24586651829884
2022-12-22 09:30:00-05:00,2022-12-22 10:00:00-05:00,TQQQ,SELL,56,17.83643271345731,17.44752,21.779111953609288,0.56,21.21911195360929,100310.46497847186,2.1243749775784764,310.4649784719081
2022-12-23 09:30:00-05:00,2022-12-23 15:00:00-05:00,TQQQ,SELL,59,16.926614677064588,17.593518,-39.34729605318927,0.59,-39.93729605318927,100270.52768241867,-3.999047274660357,270.5276824187189
2022-12-27 09:30:00-05:00,2022-12-27 15:00:00-05:00,TQQQ,SELL,59,16.886622675464906,16.823364,3.732261852429378,0.59,3.142261852429378,100273.6699442711,0.31538974067494197,273.66994427114827
2022-12-28 09:30:00-05:00,2022-12-28 15:00:00-05:00,TQQQ,BUY,59,16.973394,16.146770645870824,-48.77077789362135,0.59,-49.36077789362135,100224.30916637747,-4.929028066685871,224.3091663775269
2022-12-29 09:30:00-05:00,2022-12-29 11:00:00-05:00,TQQQ,BUY,58,17.013402000000003,17.384220000000006,21.5074440000002,0.58,20.9274440000002,100245.23661037747,2.120786894943195,245.23661037752711
2022-12-30 09:30:00-05:00,2022-12-30 15:00:00-05:00,TQQQ,BUY,59,16.783356,17.149160000000002,21.58243600000004,0.59,20.99243600000004,100266.22904637747,2.1199812480888847,266.22904637752714
2023-01-03 09:30:00-05:00,2023-01-03 11:00:00-05:00,TQQQ,SELL,58,17.146570685862827,16.772699999999997,21.684499780044128,0.58,21.10449978004413,100287.33354615752,2.1221193002915593,287.3335461575713
