side,date,entry_time,exit_time,entry,exit,pnl,cum_pnl,net_pnl,cumulative_pnl
sell,2022-09-27,2022-09-27 10:00:00-04:00,2022-09-27 15:00:00-04:00,278.23,274.52,3.7100000000000364,3.7100000000000364,3.7100000000000364,3.7100000000000364
sell,2022-09-28,2022-09-28 09:30:00-04:00,2022-09-28 15:00:00-04:00,274.13,279.87,-5.740000000000009,-2.0299999999999727,-5.740000000000009,-2.0299999999999727
sell,2022-09-29,2022-09-29 09:30:00-04:00,2022-09-29 15:00:00-04:00,272.8,272.03,0.7700000000000387,-1.259999999999934,0.7700000000000387,-1.259999999999934
buy,2022-09-30,2022-09-30 09:30:00-04:00,2022-09-30 15:00:00-04:00,272.16,267.18,-4.980000000000018,-6.239999999999952,-4.980000000000018,-6.239999999999952
sell,2022-10-03,2022-10-03 09:30:00-04:00,2022-10-03 15:00:00-04:00,268.75,273.56,-4.810000000000002,-11.049999999999955,-4.810000000000002,-11.049999999999955
buy,2022-10-04,2022-10-04 09:30:00-04:00,2022-10-04 15:00:00-04:00,281.43,282.15,0.7199999999999704,-10.329999999999984,0.7199999999999704,-10.329999999999984
buy,2022-10-05,2022-10-05 09:30:00-04:00,2022-10-05 15:00:00-04:00,278.63,281.97,3.340000000000032,-6.989999999999952,3.340000000000032,-6.989999999999952
buy,2022-10-06,2022-10-06 09:30:00-04:00,2022-10-06 15:00:00-04:00,282.1,279.82,-2.2800000000000296,-9.269999999999982,-2.2800000000000296,-9.269999999999982
sell,2022-10-07,2022-10-07 09:30:00-04:00,2022-10-07 15:00:00-04:00,272.17,269.04,3.1299999999999955,-6.139999999999986,3.1299999999999955,-6.139999999999986
sell,2022-10-10,2022-10-10 09:30:00-04:00,2022-10-10 15:00:00-04:00,266.98,266.17,0.8100000000000023,-5.329999999999984,0.8100000000000023,-5.329999999999984
sell,2022-10-11,2022-10-11 09:30:00-04:00,2022-10-11 15:00:00-04:00,262.37,262.89,-0.5199999999999818,-5.849999999999966,-0.5199999999999818,-5.849999999999966
buy,2022-10-12,2022-10-12 09:30:00-04:00,2022-10-12 15:00:00-04:00,263.99,262.73,-1.259999999999991,-7.109999999999957,-1.259999999999991,-7.109999999999957
buy,2022-10-13,2022-10-13 09:30:00-04:00,2022-10-13 11:00:00-04:00,257.48,263.14456,5.6645599999999945,-1.4454399999999623,5.6645599999999945,-1.4454399999999623
sell,2022-10-14,2022-10-14 09:30:00-04:00,2022-10-14 12:00:00-04:00,267.94,262.04532,5.894679999999994,4.449240000000032,5.894679999999994,4.449240000000032
buy,2022-10-17,2022-10-17 09:30:00-04:00,2022-10-17 15:00:00-04:00,268.52,269.48,0.9600000000000364,5.409240000000068,0.9600000000000364,5.409240000000068
sell,2022-10-18,2022-10-18 09:30:00-04:00,2022-10-18 15:00:00-04:00,274.22,271.66,2.5600000000000023,7.96924000000007,2.5600000000000023,7.96924000000007
buy,2022-10-19,2022-10-19 09:30:00-04:00,2022-10-19 15:00:00-04:00,270.11,270.6,0.4900000000000091,8.45924000000008,0.4900000000000091,8.45924000000008
buy,2022-10-20,2022-10-20 09:30:00-04:00,2022-10-20 15:00:00-04:00,271.79,269.02,-2.7700000000000387,5.689240000000041,-2.7700000000000387,5.689240000000041
buy,2022-10-21,2022-10-21 09:30:00-04:00,2022-10-21 15:00:00-04:00,270.75,275.46,4.7099999999999795,10.39924000000002,4.7099999999999795,10.39924000000002
buy,2022-10-24,2022-10-24 09:30:00-04:00,2022-10-24 15:00:00-04:00,275.71,278.54,2.830000000000041,13.229240000000061,2.830000000000041,13.229240000000061
buy,2022-10-25,2022-10-25 09:30:00-04:00,2022-10-25 15:00:00-04:00,282.71,284.26,1.5500000000000114,14.779240000000073,1.5500000000000114,14.779240000000073
buy,2022-10-26,2022-10-26 09:30:00-04:00,2022-10-26 15:00:00-04:00,278.66,277.91,-0.75,14.029240000000073,-0.75,14.029240000000073
sell,2022-10-27,2022-10-27 09:30:00-04:00,2022-10-27 15:00:00-04:00,274.09,272.82,1.2699999999999818,15.299240000000054,1.2699999999999818,15.299240000000054
buy,2022-10-28,2022-10-28 09:30:00-04:00,2022-10-28 14:00:00-04:00,274.8,280.8456,6.045599999999979,21.344840000000033,6.045599999999979,21.344840000000033
sell,2022-10-31,2022-10-31 09:30:00-04:00,2022-10-31 15:00:00-04:00,277.38,277.91,-0.5300000000000296,20.814840000000004,-0.5300000000000296,20.814840000000004
sell,2022-11-01,2022-11-01 09:30:00-04:00,2022-11-01 15:00:00-04:00,279.53,275.04,4.489999999999952,25.304839999999956,4.489999999999952,25.304839999999956
sell,2022-11-02,2022-11-02 09:30:00-04:00,2022-11-02 15:00:00-04:00,273.84,267.81552,6.024479999999983,31.32931999999994,6.024479999999983,31.32931999999994
sell,2022-11-03,2022-11-03 09:30:00-04:00,2022-11-03 15:00:00-04:00,260.55,260.5,0.05000000000001137,31.37931999999995,0.05000000000001137,31.37931999999995
sell,2022-11-04,2022-11-04 09:30:00-04:00,2022-11-04 15:00:00-04:00,263.46,264.68,-1.2200000000000273,30.159319999999923,-1.2200000000000273,30.159319999999923
sell,2022-11-07,2022-11-07 09:30:00-05:00,2022-11-07 15:00:00-05:00,264.42,267.58,-3.159999999999968,26.999319999999955,-3.159999999999968,26.999319999999955
sell,2022-11-08,2022-11-08 09:30:00-05:00,2022-11-08 15:00:00-05:00,268.69,269.53,-0.839999999999975,26.15931999999998,-0.839999999999975,26.15931999999998
sell,2022-11-09,2022-11-09 09:30:00-05:00,2022-11-09 15:00:00-05:00,266.78,263.27,3.509999999999991,29.66931999999997,3.509999999999991,29.66931999999997
buy,2022-11-10,2022-11-10 09:30:00-05:00,2022-11-10 15:00:00-05:00,278.37,282.69,4.319999999999993,33.989319999999964,4.319999999999993,33.989319999999964
buy,2022-11-11,2022-11-11 09:30:00-05:00,2022-11-11 15:00:00-05:00,282.99,287.97,4.980000000000018,38.96931999999998,4.980000000000018,38.96931999999998
