ticker,side,date,entry_time,exit_time,entry,exit,pnl,pnl_pct,cum_pnl,cum_pnl_pct
TQQQ,buy,2023-09-27,2023-09-27 09:30:00-04:00,2023-09-27 15:00:00-04:00,34.87,34.73,-0.14000000000000057,-0.40149125322627066,-0.14000000000000057,-0.40149125322627066
TQQQ,buy,2023-09-28,2023-09-28 09:30:00-04:00,2023-09-28 11:00:00-04:00,34.74,35.50428,0.7642799999999994,2.199999999999998,0.6242799999999988,1.7985087467737273
TQQQ,buy,2023-09-29,2023-09-29 09:30:00-04:00,2023-09-29 15:00:00-04:00,36.8,35.63,-1.1699999999999946,-3.1793478260869423,-0.5457199999999958,-1.380839079313215
TQQQ,buy,2023-10-02,2023-10-02 09:30:00-04:00,2023-10-02 11:00:00-04:00,36.0,36.792,0.7920000000000016,2.200000000000004,0.24628000000000583,0.8191609206867891
TQQQ,buy,2023-10-03,2023-10-03 09:30:00-04:00,2023-10-03 15:00:00-04:00,36.22,34.54,-1.6799999999999997,-4.638321369409166,-1.4337199999999939,-3.8191604487223767
TQQQ,buy,2023-10-04,2023-10-04 09:30:00-04:00,2023-10-04 15:00:00-04:00,35.12,35.89264,0.7726400000000027,2.2000000000000077,-0.6610799999999912,-1.619160448722369
TQQQ,sell,2023-10-05,2023-10-05 09:30:00-04:00,2023-10-05 10:00:00-04:00,35.36,34.58208,0.7779200000000017,2.200000000000005,0.11684000000001049,0.5808395512776361
TQQQ,buy,2023-10-06,2023-10-06 09:30:00-04:00,2023-10-06 10:00:00-04:00,34.83,35.59626,0.7662600000000026,2.2000000000000073,0.8831000000000131,2.7808395512776434
TQQQ,buy,2023-10-09,2023-10-09 09:30:00-04:00,2023-10-09 13:00:00-04:00,36.92,37.732240000000004,0.8122400000000027,2.2000000000000073,1.6953400000000158,4.980839551277651
TQQQ,buy,2023-10-10,2023-10-10 09:30:00-04:00,2023-10-10 11:00:00-04:00,38.31,39.152820000000006,0.8428200000000032,2.200000000000008,2.538160000000019,7.180839551277659
TQQQ,buy,2023-10-11,2023-10-11 09:30:00-04:00,2023-10-11 15:00:00-04:00,38.97,39.34,0.37000000000000455,0.9494482935591597,2.9081600000000236,8.130287844836818
TQQQ,sell,2023-10-12,2023-10-12 09:30:00-04:00,2023-10-12 14:00:00-04:00,39.42,38.55276,0.8672400000000025,2.200000000000006,3.775400000000026,10.330287844836825
TQQQ,buy,2023-10-13,2023-10-13 09:30:00-04:00,2023-10-13 15:00:00-04:00,39.1,37.41,-1.6900000000000048,-4.322250639386201,2.0854000000000212,6.0080372054506235
TQQQ,buy,2023-10-16,2023-10-16 09:30:00-04:00,2023-10-16 15:00:00-04:00,38.19,38.69,0.5,1.3092432573972244,2.5854000000000212,7.317280462847847
TQQQ,sell,2023-10-17,2023-10-17 09:30:00-04:00,2023-10-17 15:00:00-04:00,37.08,38.3,-1.2199999999999989,-3.290183387270763,1.3654000000000224,4.0270970755770845
TQQQ,buy,2023-10-18,2023-10-18 09:30:00-04:00,2023-10-18 15:00:00-04:00,37.73,36.67,-1.0599999999999952,-2.8094354624966744,0.3054000000000272,1.21766161308041
TQQQ,sell,2023-10-19,2023-10-19 09:30:00-04:00,2023-10-19 12:00:00-04:00,36.94,36.12732,0.8126800000000003,2.200000000000001,1.1180800000000275,3.417661613080411
TQQQ,sell,2023-10-20,2023-10-20 09:30:00-04:00,2023-10-20 10:00:00-04:00,35.35,34.5723,0.777700000000003,2.200000000000008,1.8957800000000304,5.617661613080419
TQQQ,buy,2023-10-23,2023-10-23 09:30:00-04:00,2023-10-23 11:00:00-04:00,33.91,34.65602,0.7460200000000015,2.200000000000004,2.641800000000032,7.817661613080423
TQQQ,buy,2023-10-24,2023-10-24 09:30:00-04:00,2023-10-24 15:00:00-04:00,35.23,35.37,0.14000000000000057,0.39738858927050974,2.7818000000000325,8.215050202350932
TQQQ,sell,2023-10-25,2023-10-25 09:30:00-04:00,2023-10-25 12:00:00-04:00,34.0,33.252,0.7479999999999976,2.199999999999993,3.52980000000003,10.415050202350926
TQQQ,sell,2023-10-26,2023-10-26 09:30:00-04:00,2023-10-26 11:00:00-04:00,31.77,31.07106,0.6989400000000003,2.200000000000001,4.22874000000003,12.615050202350927
TQQQ,buy,2023-10-27,2023-10-27 09:30:00-04:00,2023-10-27 15:00:00-04:00,31.71,31.31,-0.40000000000000213,-1.2614317250078908,3.8287400000000282,11.353618477343037
TQQQ,buy,2023-10-30,2023-10-30 09:30:00-04:00,2023-10-30 15:00:00-04:00,32.51,32.31,-0.19999999999999574,-0.6151953245155206,3.6287400000000325,10.738423152827517
