window,buy_time,sell_time,duration_hrs,n,avg_return,median_return,std_return,win_rate,sharpe,max_return,min_return,return_per_hour
13:00-15:00,13:00,15:00,2.0,20,3.01368010959418,2.3456692808118134,6.876750863165398,75.0,6.956873901420824,16.178192902466503,-12.088979079587434,1.50684005479709
13:30-15:00,13:30,15:00,1.5,20,2.8441874730534398,2.768090082878412,6.196935297993174,75.0,7.285871845247315,13.184046330289314,-10.478127841764104,1.8961249820356265
12:30-15:00,12:30,15:00,2.5,20,2.5709961220131463,4.389255359307641,7.568720116378038,75.0,5.3923645657121355,12.653172058176821,-15.603611807923942,1.0283984488052584
13:00-15:30,13:00,15:30,2.5,20,2.557828512166042,2.557236214015345,7.998442877016314,75.0,5.076521700733446,15.034956623001621,-19.390321552673132,1.0231314048664166
13:30-15:30,13:30,15:30,2.0,20,2.369930934417572,2.337932507331299,7.220825480568507,70.0,5.210136619760116,12.539575124535563,-16.039006955891324,1.184965467208786
14:00-15:00,14:00,15:00,1.0,20,2.320071010265845,1.5971702333439846,4.505502154800503,65.0,8.174446318664259,10.596138942470091,-9.343510957570453,2.320071010265845
12:30-15:30,12:30,15:30,3.0,20,2.1079937734599494,3.1648836504865607,8.44861987830942,70.0,3.9608083001814482,12.201213551592707,-22.6130507523277,0.7026645911533165
13:00-14:30,13:00,14:30,1.5,20,2.0811870435706585,2.9478737190699515,5.362982078814653,70.0,6.160345048530985,11.331551005186025,-13.169785065652897,1.3874580290471057
13:30-14:30,13:30,14:30,1.0,20,1.9226958445111675,2.322464641829975,4.701417174098174,75.0,6.492053178458446,11.973544613139502,-9.559854194370173,1.9226958445111675
12:00-15:00,12:00,15:00,3.0,20,1.8967045792027637,4.964412530869485,8.428512726894418,60.0,3.5723089871706994,12.998178878591816,-18.117590473618677,0.6322348597342545
14:00-15:30,14:00,15:30,1.5,20,1.829827686820355,2.4470527838311154,5.626996326955285,60.0,5.16218819433295,10.619796217472043,-8.005080885323569,1.2198851245469033
12:30-14:30,12:30,14:30,2.0,20,1.6302448052114935,3.215359837268428,6.071934975363217,70.0,4.262123044708529,11.890073396492975,-16.641207784006166,0.8151224026057468
12:00-15:30,12:00,15:30,3.5,20,1.436946209105002,4.6641625693338735,9.199198891902084,55.00000000000001,2.4796522140741115,13.324226904538827,-24.91823399037195,0.4105560597442863
14:00-14:30,14:00,14:30,0.5,20,1.434284516536311,1.2904222688556213,3.268025946705416,65.0,6.9670685642343555,6.556319614898458,-5.101478863031396,2.868569033072622
12:00-14:30,12:00,14:30,2.5,20,0.9470171851984748,3.6545841174294638,6.907860121520759,65.0,2.1762791214029074,9.641302656484676,-19.124278798279317,0.3788068740793899
14:30-15:00,14:30,15:00,0.5,20,0.8717551023484035,1.341563345809754,2.9766902780522844,80.0,4.649016839887075,5.019919266093424,-6.706723492619898,1.743510204696807
10:30-11:00,10:30,11:00,0.5,20,0.6438435583616483,0.5649040819714994,3.7638232330826504,60.0,2.715510001133599,10.163825675063423,-6.536312168599008,1.2876871167232966
13:00-14:00,13:00,14:00,1.0,20,0.6288936706369064,1.6873655613258056,3.976691880228933,55.00000000000001,2.5104729816462865,5.697930257585342,-12.375945081442238,0.6288936706369064
10:30-15:00,10:30,15:00,4.5,20,0.6063796522839976,2.907808523804417,11.811649000394706,65.0,0.8149563672166347,18.820060441801598,-29.707283831196467,0.13475103384088835
09:30-15:00,09:30,15:00,5.5,20,0.5381778238991023,3.485858767050831,14.683882659891545,65.0,0.5818153343282525,25.18191329080568,-35.23587940759584,0.09785051343620042
13:30-14:00,13:30,14:00,0.5,20,0.47280760405344086,0.9597420550515859,3.0319335179926425,70.0,2.475512073498047,5.083907756779938,-8.733010635677664,0.9456152081068817
14:30-15:30,14:30,15:30,1.0,20,0.35729066590975067,0.7184218367511551,3.7268494532269694,55.00000000000001,1.5218788839619277,7.090086317387829,-7.164022905763416,0.35729066590975067
09:30-11:00,09:30,11:00,1.5,20,0.34881578425345594,1.831863882506079,7.154520667696797,60.0,0.7739552610495433,14.72710243955739,-18.436061446816527,0.23254385616897064
11:30-15:00,11:30,15:00,3.5,20,0.327632825093762,3.3131287907484173,10.086764303308595,65.0,0.5156271825972674,11.660862802342622,-29.060309487131946,0.09360937859821772
09:30-10:00,09:30,10:00,0.5,20,0.30368612907629894,-0.11619369828785135,4.960556388984888,50.0,0.9718401459238359,11.60587855934396,-7.097362549343791,0.6073722581525979
10:00-15:00,10:00,15:00,5.0,20,0.22325796017261443,4.035605670400487,13.425401153898289,65.0,0.263985426160969,15.930072231180892,-35.523018864516935,0.04465159203452289
12:30-14:00,12:30,14:00,1.5,20,0.20820665654888354,1.1713462476882228,5.348907532225017,55.00000000000001,0.6179164973982317,6.658024125872861,-15.879105071873086,0.13880443769925568
10:30-11:30,10:30,11:30,1.0,20,0.18072422770096366,0.792909500235779,4.647369544997833,60.0,0.6173187104033276,7.860304414144033,-12.648526681028368,0.18072422770096366
10:30-15:30,10:30,15:30,5.0,20,0.17493828963333416,1.6740956047230713,12.467326212878739,60.0,0.22274697938424404,21.162257768540957,-35.54535952112027,0.03498765792666683
13:00-13:30,13:00,13:30,0.5,20,0.13745225419902202,-0.25309180773460177,1.850661547851739,45.0,1.1790307596048242,3.6195070263403517,-3.991513767614923,0.27490450839804403
09:30-15:30,09:30,15:30,6.0,20,0.09104450259681443,3.3881442916909212,15.22387939937534,55.00000000000001,0.0949355045944317,27.479371580538036,-34.01645705782515,0.015174083766135738
